2023.07.17,03:22:00,250.29,250.69,250.29,250.39,10,0,112
2023.07.17,03:23:00,250.39,250.59,250.39,250.59,5,0,114
2023.07.17,03:24:00,250.59,250.99,250.59,250.79,7,0,113
2023.07.17,03:25:00,250.69,250.89,250.69,250.69,5,0,115
2023.07.17,03:26:00,250.59,250.59,250.39,250.59,7,0,112
2023.07.17,03:27:00,250.59,250.89,250.59,250.89,4,0,116
2023.07.17,03:28:00,250.89,250.99,250.69,250.69,5,0,112
2023.07.17,03:29:00,250.69,250.89,250.69,250.89,3,0,112
2023.07.17,03:30:00,250.89,251.09,250.59,250.59,8,0,113
2023.07.17,03:31:00,250.59,250.89,250.59,250.69,6,0,114
2023.07.17,03:32:00,250.59,250.69,250.49,250.69,4,0,113
2023.07.17,03:33:00,250.69,250.89,250.69,250.89,7,0,112
2023.07.17,03:34:00,250.89,251.09,250.79,251.09,7,0,115
2023.07.17,03:35:00,251.09,251.39,251.09,251.09,7,0,113
2023.07.17,03:36:00,250.99,250.99,250.69,250.99,7,0,112
2023.07.17,03:37:00,250.89,250.99,250.89,250.99,2,0,114
2023.07.17,03:38:00,250.99,251.09,250.99,250.99,3,0,115
2023.07.17,03:39:00,250.89,251.09,250.89,251.09,3,0,114
2023.07.17,03:40:00,250.99,250.99,250.89,250.89,2,0,114
2023.07.17,03:41:00,250.89,250.99,250.89,250.99,2,0,113
2023.07.17,03:42:00,250.89,250.89,250.49,250.49,5,0,113
2023.07.17,03:43:00,250.49,250.59,250.39,250.39,8,0,112
2023.07.17,03:44:00,250.29,250.39,250.29,250.29,3,0,113
2023.07.17,03:45:00,250.19,250.29,249.79,249.89,13,0,113
